experiment,timestamp,repo_url,repo_name,model_provider,model_name,model_label,temperature,seed,prompt_id,prompt_description,prompt_source_path,build_success,runtime_success,repetition,status,generation_success,generation_time,overall_score,dockerfile_score,k8s_score,runtime_score,docker_llm_score,k8s_llm_score,tool_calls,tokens_used,error_count,warning_count,info_count,has_errors,is_clean,dockerfile_syntax_valid,k8s_syntax_valid,run_id,workspace_dir,report_path
h2,2025-12-29T21:46:24.273424+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,True,False,1,completed,True,26.302623987197876,71.80000000000001,100.0,92.0,0.0,,,14,48420,1,4,0,True,False,True,True,3aba806c-2b40-4adc-91e4-630f2ee603fa,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-3aba806c-2b40-4adc-91e4-630f2ee603fa,google_gemini_2-5_flash/default/poc2-fastapi/h2__gemini-2-5-flash__default__poc2-fastapi__run2_20251229_224910_a4701ddd.json
h2,2025-12-29T21:49:10.307283+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,True,False,2,completed,True,25.293654203414917,71.80000000000001,100.0,92.0,0.0,,,14,58276,1,4,0,True,False,True,True,346ee0fb-a73d-43dd-a79a-e356c30804a4,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-346ee0fb-a73d-43dd-a79a-e356c30804a4,google_gemini_2-5_flash/default/poc2-fastapi/h2__gemini-2-5-flash__default__poc2-fastapi__run3_20251229_225153_74310310.json
h2,2025-12-29T21:51:53.680696+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,0,completed,True,126.1507511138916,91.3,98.0,80.0,100.0,,,32,164740,0,11,0,False,False,True,True,4efd97ca-e463-4c07-9ef5-9f079c0e06b7,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-4efd97ca-e463-4c07-9ef5-9f079c0e06b7,openai_gpt5_mini/default/poc2-fastapi/h2__gpt-5-mini__default__poc2-fastapi__run1_20251229_225515_4d5f74ab.json
h2,2025-12-29T21:55:15.614804+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,1,completed,True,78.00658297538757,96.1,98.0,92.0,100.0,,,28,135580,0,5,0,False,False,True,True,880e9f57-3a0c-48e8-8b12-ea00469cc7da,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-880e9f57-3a0c-48e8-8b12-ea00469cc7da,openai_gpt5_mini/default/poc2-fastapi/h2__gpt-5-mini__default__poc2-fastapi__run2_20251229_225741_90937ce1.json
h2,2025-12-29T21:57:41.977554+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,False,False,2,failed,False,44.95591998100281,0,,,,,,0,,,,,,,,,,,openai_gpt5_mini/default/poc2-fastapi/h2__gpt-5-mini__default__poc2-fastapi__run3_20251229_225826_29406679.json
h2,2025-12-29T21:58:27.233620+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,False,0,completed,True,125.94983983039856,34.3,98.0,0.0,,,,30,175419,7,5,1,True,False,True,True,d4619517-f178-4f5c-bb57-e229fc486f61,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-d4619517-f178-4f5c-bb57-e229fc486f61,deepseek_v3_2/default/poc2-fastapi/h2__deepseek-chat__default__poc2-fastapi__run1_20251229_230046_5ef8fad3.json
h2,2025-12-29T22:00:46.356540+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,1,completed,True,130.1050989627838,96.1,98.0,92.0,100.0,,,28,174446,0,5,1,False,False,True,True,608a6ac2-8e24-4450-8255-cb5031c647d9,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-608a6ac2-8e24-4450-8255-cb5031c647d9,deepseek_v3_2/default/poc2-fastapi/h2__deepseek-chat__default__poc2-fastapi__run2_20251229_230338_ec60ed7d.json
h2,2025-12-29T22:03:39.117010+00:00,https://github.com/run-rasztabiga-me/poc2-fastapi.git,poc2-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,False,2,completed,True,139.5695550441742,34.3,98.0,0.0,,,,28,163458,7,5,1,True,False,True,True,9bfb151a-2212-4ad1-b70b-b9ee116f0a05,/Users/rasztabigab/Studia/run/tmp/poc2-fastapi-9bfb151a-2212-4ad1-b70b-b9ee116f0a05,deepseek_v3_2/default/poc2-fastapi/h2__deepseek-chat__default__poc2-fastapi__run3_20251229_230610_62dc46fd.json
h2,2025-12-29T22:06:10.785148+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,False,False,0,completed,True,44.3967969417572,0.0,0.0,,,,,22,118537,2,0,0,True,False,True,,9067c922-e03b-4ca3-a207-2f9791eaec62,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-9067c922-e03b-4ca3-a207-2f9791eaec62,google_gemini_2-5_flash/default/poc3-fastapi/h2__gemini-2-5-flash__default__poc3-fastapi__run1_20251229_230707_4912f5da.json
h2,2025-12-29T22:07:07.494855+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,False,False,1,completed,True,41.35991811752319,0.0,0.0,,,,,18,54438,2,0,0,True,False,True,,724cf15a-ea91-464a-9ae2-1578ae1113b7,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-724cf15a-ea91-464a-9ae2-1578ae1113b7,google_gemini_2-5_flash/default/poc3-fastapi/h2__gemini-2-5-flash__default__poc3-fastapi__run2_20251229_230803_1141c515.json
h2,2025-12-29T22:08:03.972720+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,False,False,2,completed,True,36.25479602813721,0.0,0.0,,,,,22,44987,2,1,0,True,False,True,,49b9c59a-4aab-4ee6-9b87-39973d06c8d9,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-49b9c59a-4aab-4ee6-9b87-39973d06c8d9,google_gemini_2-5_flash/default/poc3-fastapi/h2__gemini-2-5-flash__default__poc3-fastapi__run3_20251229_230852_cc19bfa6.json
h2,2025-12-29T22:08:52.982517+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,False,False,0,completed,True,200.21251106262207,0.0,0.0,,,,,44,611120,2,1,0,True,False,True,,dae883f0-60ea-4cdb-a626-851a70e13d50,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-dae883f0-60ea-4cdb-a626-851a70e13d50,openai_gpt5_mini/default/poc3-fastapi/h2__gpt-5-mini__default__poc3-fastapi__run1_20251229_231224_87ec2465.json
h2,2025-12-29T22:12:26.140265+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,1,completed,True,128.69872784614563,94.5,98.0,88.0,100.0,,,39,348744,0,7,0,False,False,True,True,36989946-2c24-4f81-8ccf-6e274697789d,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-36989946-2c24-4f81-8ccf-6e274697789d,openai_gpt5_mini/default/poc3-fastapi/h2__gpt-5-mini__default__poc3-fastapi__run2_20251229_231600_77f5778f.json
h2,2025-12-29T22:16:00.462735+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,False,False,2,failed,False,107.3200032711029,0,,,,,,0,,,,,,,,,,,openai_gpt5_mini/default/poc3-fastapi/h2__gpt-5-mini__default__poc3-fastapi__run3_20251229_231747_ab6cb831.json
h2,2025-12-29T22:17:48.120060+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,0,completed,True,163.97293901443481,94.5,98.0,88.0,100.0,,,33,250968,0,7,1,False,False,True,True,1b7c86b9-b5f9-4f6c-8662-b80a18c96a9f,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-1b7c86b9-b5f9-4f6c-8662-b80a18c96a9f,deepseek_v3_2/default/poc3-fastapi/h2__deepseek-chat__default__poc3-fastapi__run1_20251229_232122_d34f3a54.json
h2,2025-12-29T22:21:22.850238+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,1,completed,True,185.73074102401733,94.5,98.0,88.0,100.0,,,33,637817,0,7,1,False,False,True,True,83d2a767-a3e3-4649-8cec-f0e2198459d5,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-83d2a767-a3e3-4649-8cec-f0e2198459d5,deepseek_v3_2/default/poc3-fastapi/h2__deepseek-chat__default__poc3-fastapi__run2_20251229_232524_0c2814d9.json
h2,2025-12-29T22:25:24.563169+00:00,https://github.com/run-rasztabiga-me/poc3-fastapi.git,poc3-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,2,completed,True,210.81193327903748,94.5,98.0,88.0,100.0,,,39,793262,0,7,1,False,False,True,True,521b8133-28f7-42d3-8ace-4dde468cfbf7,/Users/rasztabigab/Studia/run/tmp/poc3-fastapi-521b8133-28f7-42d3-8ace-4dde468cfbf7,deepseek_v3_2/default/poc3-fastapi/h2__deepseek-chat__default__poc3-fastapi__run3_20251229_233048_9fffcddb.json
h2,2025-12-29T22:30:49.345430+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,False,False,0,completed,True,61.23696160316467,0.0,0.0,,,,,31,176133,4,2,0,True,False,True,,87f680b4-8647-477f-89ce-a88b268c6210,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-87f680b4-8647-477f-89ce-a88b268c6210,google_gemini_2-5_flash/default/poc4-fastapi/h2__gemini-2-5-flash__default__poc4-fastapi__run1_20251229_233204_a6cf29d9.json
h2,2025-12-29T22:32:04.954924+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,False,False,1,completed,True,66.21168208122253,0.0,0.0,,,,,31,254690,4,4,0,True,False,True,,8ed1d08b-795c-4181-8d79-92b46e9975d8,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-8ed1d08b-795c-4181-8d79-92b46e9975d8,google_gemini_2-5_flash/default/poc4-fastapi/h2__gemini-2-5-flash__default__poc4-fastapi__run2_20251229_233324_43b892ea.json
h2,2025-12-29T22:33:25.094338+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,google_genai,gemini-2.5-flash,google_gemini_2.5_flash,1.0,,default,default-system-prompt,,False,False,2,completed,True,49.597989082336426,0.0,0.0,,,,,32,117040,3,2,0,True,False,True,,419e1c38-8a95-4657-8470-d58d8c90835d,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-419e1c38-8a95-4657-8470-d58d8c90835d,google_gemini_2-5_flash/default/poc4-fastapi/h2__gemini-2-5-flash__default__poc4-fastapi__run3_20251229_233441_caf4d356.json
h2,2025-12-29T22:34:41.697093+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,False,False,0,failed,False,43.70036697387695,0,,,,,,0,,,,,,,,,,,openai_gpt5_mini/default/poc4-fastapi/h2__gpt-5-mini__default__poc4-fastapi__run1_20251229_233525_cca1257f.json
h2,2025-12-29T22:35:25.703085+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,1,completed,True,261.38836312294006,90.6,96.0,80.0,100.0,,,68,1063541,0,13,0,False,False,True,True,a5436dd5-c7d3-4a20-a066-650986aaf077,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-a5436dd5-c7d3-4a20-a066-650986aaf077,openai_gpt5_mini/default/poc4-fastapi/h2__gpt-5-mini__default__poc4-fastapi__run2_20251229_234120_f1f09845.json
h2,2025-12-29T22:41:20.995237+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,openai,gpt-5-mini,openai_gpt5_mini,1.0,,default,default-system-prompt,,True,True,2,completed,True,210.7908957004547,89.9,94.0,80.0,100.0,,,60,1395619,0,19,0,False,False,True,True,5236899a-9d9f-4930-bf11-a96c1c7240d9,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-5236899a-9d9f-4930-bf11-a96c1c7240d9,openai_gpt5_mini/default/poc4-fastapi/h2__gpt-5-mini__default__poc4-fastapi__run3_20251229_234647_8ad10a18.json
h2,2025-12-29T22:46:48.005611+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,False,0,completed,True,377.30252480506897,66.9,94.0,85.0,,,,56,1318065,1,3,3,True,False,True,False,dc163bbc-584b-42fc-93f0-75806ffd9650,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-dc163bbc-584b-42fc-93f0-75806ffd9650,deepseek_v3_2/default/poc4-fastapi/h2__deepseek-chat__default__poc4-fastapi__run1_20251229_235324_101cfa47.json
h2,2025-12-29T22:53:24.308070+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,False,1,completed,True,407.24144887924194,66.9,94.0,85.0,,,,63,778090,1,3,3,True,False,True,False,7622a586-dc9c-402c-943d-99e27e956b5e,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-7622a586-dc9c-402c-943d-99e27e956b5e,deepseek_v3_2/default/poc4-fastapi/h2__deepseek-chat__default__poc4-fastapi__run2_20251230_000031_e20843dd.json
h2,2025-12-29T23:00:31.524151+00:00,https://github.com/run-rasztabiga-me/poc4-fastapi.git,poc4-fastapi,deepseek,deepseek-chat,deepseek_v3_2,1.0,,default,default-system-prompt,,True,True,2,completed,True,402.3883709907532,89.9,94.0,80.0,100.0,,,65,892551,0,19,3,False,False,True,True,cb556665-f50b-4a4a-865b-fef1a2f33bd5,/Users/rasztabigab/Studia/run/tmp/poc4-fastapi-cb556665-f50b-4a4a-865b-fef1a2f33bd5,deepseek_v3_2/default/poc4-fastapi/h2__deepseek-chat__default__poc4-fastapi__run3_20251230_000826_fc4aff24.json
